exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,correct,is_exempt,is_invalidated,note,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point,related_links,diagram_id
2025,令和7年度（学科）,1,single,ライフプランニングと資金計画,FP2級;学科;四答択,ファイナンシャル・プランナー（以下 、「ＦＰ」という）の顧客に対する行為に関する次の記述のうち、関連法規に照らし、最も不適切なものはどれか。,,,,,,社会保険労務士の登録を受けていないＦＰが、年金の相談に来た顧客の求めに応じ、公的年金の裁定請求手続を代行して報酬を受け取った。,生命保険募集人の登録を受けていないＦＰが、ライフプランの相談に来た顧客の求めに応じ、ライフイベントに応じた生命保険の一般的な活用方法を説明した。,金融商品取引業者の登録を受けていないＦＰが、資産運用の相談に来た顧客の求めに応じ、顧客の投資判断材料となる景気動向や企業業績に関する情報を提供した。,税理士の登録を受けていないＦＰが、相続の相談に来た顧客の求めに応じ、顧客の具体的な相続税額の算出のために知り合いの税理士を紹介した。,1,FALSE,FALSE,fp2_gakka_202505_q001,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,2,single,ライフプランニングと資金計画,FP2級;学科;四答択,全国健康保険協会管掌健康保険（協会けんぽ）の被保険者に関する次の記述の空欄（ア）～（ウ）にあてはまる語句の組合せとして、最も適切なものはどれか。,"特定適用事業所に使用される者のうち、１週間の所定労働時間または１カ月間の所定労働日数が同一の事業所に使用される通常の労働者の（ ア ）未満である短時間労働者に該当し、かつ、次のいずれかに該当する者は、原則として、被保険者とならない。
(1)１週間の所定労働時間が（ イ ）未満である者
(2)所定内賃金が月額（ ウ ）未満である者
(3)学生である者",,,,,"（ア）３分の２ （イ）20時間 （ウ）５万8,000円","（ア）３分の２ （イ）25時間 （ウ）８万8,000円","（ア）４分の３ （イ）20時間 （ウ）８万8,000円","（ア）４分の３ （イ）25時間 （ウ）５万8,000円",3,FALSE,FALSE,fp2_gakka_202505_q002,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,3,single,ライフプランニングと資金計画,FP2級;学科;四答択,労働者災害補償保険に関する次の記述のうち、最も不適切なものはどれか。,,,,,,労働者災害補償保険の適用を受ける労働者には、雇用形態がアルバイトやパートタイマーである者も含まれる。,労働者災害補償保険の保険料の算定に用いられる労災保険率は、事業の規模によって災害の発生率が異なることから、 適用事業に従事する労働者数 に応じて定められている。,労働者の業務上の傷病が治癒したときに、身体に一定の障害が残り、その障害の程度が所定の障害等級に該当する場合、障害補償給付が支給される。,業務災害により労働者が死亡した場合、対象となる遺族に対し、遺族補償給付として遺族補償年金または遺族補償一時金が支給される。,2,FALSE,FALSE,fp2_gakka_202505_q003,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,4,single,ライフプランニングと資金計画,FP2級;学科;四答択,国民年金の保険料に関する次の記述のうち、最も不適切なものはどれか。,,,,,,国民年金の第１号被保険者は、国民年金の保険料の納付を免除または猶予されている者および国民年金基金の加入員 等を除き、月額400円の付加保険料を納付することができる。,産前産後期間の保険料免除制度により国民年金の保険料の納付が免除された期間は、保険料納付済期間として老齢基礎年金の年金額に反映される。,国民年金の保険料免除期間に係る保険料を追納する場合、追納 すべき額は、追納する時期にかかわらず、免除された時点における保険料の額となる。,国民年金の保険料を前納した第１号被保険者が、その前納に係る期間の経過前に第２号被保険者となった場合、前納した保険料のうち、未経過期間に係るものの還付を受けることができる。,3,FALSE,FALSE,fp2_gakka_202505_q004,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,5,single,ライフプランニングと資金計画,FP2級;学科;四答択,公的年金の老齢給付の繰上げ支給に関する次の記述のうち、最も不適切なものはどれか。,,,,,,老齢厚生年金の繰上げ支給を請求することができる者が老齢基礎年金の繰上げ支給を請求する場合、老齢厚生年金の繰上げ支給の請求も同時に行わなければならない。,1962年４月２日以後生まれの者が、62歳６カ月に達した月に老齢基礎年金の繰上げ支給を請求した場合、老齢基礎年金の減額率は12％となる。,寡婦年金を受給している者が老齢基礎年金の繰上げ支給を請求した場合、寡婦年金の受給権が消滅する。,加給年金対象者となる配偶者を有する者が老齢厚生年金の繰上げ支給を請求 した場合、繰上げ支給の老齢厚生年金に繰り上げた月数に応じて減額された加給年金額が加算される。,4,FALSE,FALSE,fp2_gakka_202505_q005,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,6,single,ライフプランニングと資金計画,FP2級;学科;四答択,公的年金の遺族給付に関する次の記述のうち、最も不適切なものはどれか。,,,,,,遺族基礎年金を受給することができる遺族は、国民年金の被保険者等の死亡の当時、その者によって生計を維持され、かつ、所定の要件を満たす「子のある配偶者」または「子」である。,厚生年金保険の被保険者である夫が死亡し、子のない30歳未満の妻が遺族厚生年金の受給権を取得した場合、その妻に対する遺族厚生年金の支給期間は、最長で10年間である。,厚生年金保険の被保険者である夫が死亡し、子のない40歳以上65歳未満の妻が遺族厚生年金の受給権を取得した場合、妻が 65歳に達するまでの間、妻に支給される遺族厚生年金に中高齢寡婦加算額が加算される。,国民年金の被保険者の死亡により、その者の遺族に遺族基礎年金が支給される場合、その者の遺族に死亡一時金は支給されない。,2,FALSE,FALSE,fp2_gakka_202505_q006,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,7,single,ライフプランニングと資金計画,FP2級;学科;四答択,国民年金基金に関する次の記述のうち、最も適切なものはどれか。,,,,,,国民年金基金には、国民年金の第１号被保険者および第３号被保険者と、日本国内に住所を有する 60歳以上65歳未満の国民年金の任意加入被保険者が加入することができる。,国民年金基金の加入員は、厚生年金保険の被保険者になるなどの所定の事由に該当したときに加入員 の資格を喪失するが、自己の都合で任意に脱退することはできない。,国民年金基金への加入は口数制となっており、１口目は２種類の終身年金 のなかから選択し、２口目以降は５種類の確定年金のなかから選択する。,国民年金基金の給付には、老齢年金、障害年金、遺族一時金がある。,2,FALSE,FALSE,fp2_gakka_202505_q007,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,8,single,ライフプランニングと資金計画,FP2級;学科;四答択,公的年金に係る税金に関する次の記述のうち、最も適切なものはどれか。,,,,,,老齢基礎年金および老齢厚生年金の支払の際に、所得税および復興特別所得税が源泉徴収される場合、その源泉徴収税率は10.21％である。,老齢基礎年金を受給権発生日から数年後に請求し、遡及して数年分の年金を一括して受給した場合、一括して受給した年金は、一時所得として所得税の課税対象となる。,厚生年金保険の被保険者が死亡したことにより、遺族が取得した遺族厚生年金の受給権 に基づく年金給付 は、相続または遺贈により取得したものとみなして相続税の課税対象となる。,老齢基礎年金および老齢厚生年金の受給者が死亡し、その者に支給されるべき年金給付のうち、まだ支給されていなかったもの（未支給年金）は、当該年金を受け取った遺族の一時所得として所得税の課税対象となる。,4,FALSE,FALSE,fp2_gakka_202505_q008,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,9,single,ライフプランニングと資金計画,FP2級;学科;四答択,住宅ローンの一般的な特徴に関する次の記述のうち、最も 不適切なものはどれか。,,,,,,住宅ローンの返済方法において、元利均等返済と元金均等返済を比較した場合、借入額や返済期間 などの他の条件が同一であれば、総返済額は元利均等返済のほうが多くなる。,住宅ローンの一部繰上げ返済において、返済額軽減型と 返済期間短縮型を比較した場合、 繰上げ返済額 や金利などの 他の条件が同一であれば、 利息の軽減効果は返済額軽減型のほうが大きくなる。,住宅ローンの一部繰上げ返済をする場合、取扱金融機関によって最低返済額や必要となる手数料が異なることがある。,住宅ローンの借換えに際して、現在借入れをしている金融機関の抵当権を抹消し、借換先の金融機関の抵当権を設定する場合、登録免許税等の諸費用が必要となる。,2,FALSE,FALSE,fp2_gakka_202505_q009,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,10,single,ライフプランニングと資金計画,FP2級;学科;四答択,下記の〈Ｘ社の貸借対照表〉に基づく財務分析に関する次の記述のうち、最も不適切なものはどれか。,"なお、Ｘ社の当期純利益は800百万円である。

〈Ｘ社の貸借対照表〉 （単位：百万円）
科目 金額 科目 金額
（資産の部）  （負債の部）
流動資産  流動負債現金及び預金 9,000 買掛金 600
売掛金 1,500 短期借入金 900
製品 1,500 流動負債合計 1,500
流動資産合計 12,000 固定負債固定資産  固定負債合計 2,500
固定資産合計 8,000 負債合計 4,000
（純資産の部）
株主資本資本金 4,000
利益剰余金 12,000
純資産合計 16,000
資産合計 20,000 負債・純資産合計 20,000",,,,,Ｘ社の自己資本比率は、80％である。,Ｘ社の流動比率は、800％である。,Ｘ社の固定長期適合率は、50％である。,Ｘ社の自己資本当期純利益率は、５％である。,3,FALSE,FALSE,fp2_gakka_202505_q010,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,11,single,リスク管理,FP2級;学科;四答択,生命保険の保険料等の一般的な仕組みに関する次の記述のうち、最も不適切なものはどれか。,,,,,,責任準備金は、保険会社が将来の保険金等の支払のために、保険数理に基づいて算定し、積み立てる準備金である。,保険料のうち、将来の保険金等の支払財源となる純保険料は、予定死亡率と予定利率に基づいて計算される。,終身保険について、保険料の算定に用いられる予定利率が引き上げられた場合、新規契約の保険料は高くなる。,保険会社が実際に要した事業費が、保険料を算定する際に見込んでいた事業費よりも少なかった場合、費差益が生じる。,3,FALSE,FALSE,fp2_gakka_202505_q011,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,12,single,リスク管理,FP2級;学科;四答択,生命保険の一般的な商品性に関する次の記述のうち、最も不適切なものはどれか。,なお、記載のない特約については考慮しないものとする。,,,,,逓減定期保険は、保険期間の経過に伴って所定の割合で保険料が逓減するが、保険金額は一定である。,収入保障保険の死亡保険金を一時金で受け取る場合の受取額は、年金形式で受け取る場合の受取総額よりも少ない。,低解約返戻金型終身保険では、他の契約条件が同一で低解約返戻金型ではない終身保険と比較して、保険料払込期間中の解約返戻金額が低く抑えられているため、割安な保険料が設定されている。,定期保険特約付終身保険（更新型）では、定期保険特約を同額の保険金額で更新した場合、更新後の保険料は更新前の保険料よりも高くなる。,1,FALSE,FALSE,fp2_gakka_202505_q012,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,13,single,リスク管理,FP2級;学科;四答択,個人年金保険の一般的な商品性に関する次の記述のうち、最も適切なものはどれか。,,,,,,確定年金では、年金支払期間中に被保険者（＝年金受取人）が死亡した場合、あらかじめ指定された受取人が既払込保険料相当額から被保険者に支払われた年金額を差し引いた金額を死亡保険金として受け取ることができる。,保証期間付終身年金の保険料は、他の契約条件が同一であれば、被保険者が男性のほうが女性よりも高くなる。,変額個人年金保険では、特別勘定における運用実績によって、将来受け取る年金額や解約返戻金額が変動する。,個人年金保険では、被保険者が保険料払込期間中に所定の高度障害状態に該当すると、以後の保険料の払込みが免除され、直ちに年金を受け取ることができる。,3,FALSE,FALSE,fp2_gakka_202505_q013,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
2025,令和7年度（学科）,14,single,リスク管理,FP2級;学科;四答択,所得税における生命保険料控除に関する次の記述のうち、最も適切なものはどれか。,なお、各選択肢において、生命保険契約は2012年１月１日以後に締結されたものとし、ほかに必要な要件等はすべて満たしているものとする。,,,,,勤労者財産形成貯蓄積立保険（一般財形）の保険料は、一般の生命保険料控除の対象となる。,特定（三大）疾病保障定期保険の保険料は、一般の生命保険料控除の対象となる。,一般の生命保険料控除、個人年金保険料控除および介護医療保険料控除の控除限度額は、各５万円である。,終身保険の月払保険料について、保険料の支払がなかったため自動振替貸付により保険料の払込みに充当された金額は、その年分の生命保険料控除の対象とならない。,2,FALSE,FALSE,fp2_gakka_202505_q014,（解説は順次追加予定です。正答は日本FP協会の公表資料に基づきます。）,,,,,,
